Total population,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Norfolk Island,,,,,,,,,,,,"1,849",,,,,"1,977",,,,,"1,912",,,,,"1,772",,,,,"2,037","1,870","1,850","1,840","1,830","1,830","2,110","2,128",,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,"13,203","13,658","14,142","14,605","14,978","15,232","15,316","15,293","15,390","15,906","17,048","18,906","21,392","24,308","27,362","30,341","33,174","35,906","38,571","41,244","43,973","46,727","49,456","52,161","54,852","57,517","60,173","62,766","65,138","67,075","68,432","69,184","69,393","69,105","68,404","67,381","66,006","64,349","62,707","61,473","60,917","61,174","62,152","63,597"
Norway,"3,877,383","3,906,490","3,934,529","3,961,021","3,985,401","4,007,312","4,026,586","4,043,440","4,058,407","4,072,258","4,085,621","4,098,699","4,111,566","4,124,588","4,138,150","4,152,560","4,168,003","4,184,566","4,202,325","4,221,299","4,241,485","4,262,932","4,285,620","4,309,369","4,333,931","4,359,096","4,385,139","4,412,092","4,439,248","4,465,664","4,490,859","4,513,953","4,535,599","4,558,660","4,587,046","4,623,298","4,668,802","4,722,016","4,778,959","4,834,002","4,883,111","4,924,848","4,960,482","4,991,997"
Oman,"731,703","758,060","787,002","819,375","856,230","898,286","945,679","998,100","1,055,217","1,116,489","1,181,337","1,249,858","1,321,650","1,395,032","1,467,846","1,538,575","1,605,464","1,668,734","1,731,168","1,796,822","1,868,055","1,947,042","2,031,377","2,113,398","2,182,619","2,232,018","2,258,730","2,266,469","2,262,969","2,259,398","2,264,163","2,279,171","2,302,874","2,335,967","2,378,336","2,429,510","2,490,620","2,561,187","2,636,963","2,712,141","2,782,435","2,846,145","2,904,037","2,957,333"
Pakistan,"59,382,651","61,033,754","62,751,275","64,551,904","66,456,937","68,482,526","70,632,133","72,904,319","75,303,460","77,832,927","80,492,664","83,280,137","86,187,238","89,200,001","92,300,277","95,470,380","98,710,951","102,011,892","105,332,464","108,621,443","111,844,679","114,970,102","118,010,303","121,029,915","124,121,817","127,346,713","130,737,306","134,255,952","137,808,222","141,261,069","144,522,192","147,557,907","150,407,242","153,139,895","155,860,066","158,645,463","161,513,324","164,445,596","167,442,258","170,494,367","173,593,383","176,745,364","179,951,140","183,188,847"
Palau,"11,481","11,656","11,853","12,045","12,195","12,280","12,284","12,225","12,151","12,127","12,197","12,383","12,667","13,015","13,371","13,698","13,982","14,237","14,485","14,762","15,089","15,471","15,894","16,345","16,804","17,254","17,694","18,122","18,522","18,876","19,172","19,402","19,573","19,698","19,803","19,906","20,011","20,118","20,228","20,346","20,472","20,609","20,758","20,922"
Panama,"1,509,822","1,552,391","1,595,314","1,638,624","1,682,398","1,726,672","1,771,458","1,816,673","1,862,142","1,907,645","1,953,029","1,998,261","2,043,413","2,088,590","2,133,947","2,179,624","2,225,634","2,272,029","2,319,035","2,366,933","2,415,926","2,466,083","2,517,356","2,569,672","2,622,903","2,676,926","2,731,717","2,787,228","2,843,276","2,899,636","2,956,126","3,012,635","3,069,123","3,125,565","3,181,969","3,238,321","3,294,583","3,350,673","3,406,487","3,461,901","3,516,820","3,571,185","3,624,991","3,678,264"
Papua New Guinea,"2,434,698","2,503,009","2,576,020","2,652,505","2,730,770","2,809,595","2,888,403","2,967,506","3,047,644","3,129,991","3,215,339","3,304,033","3,395,633","3,489,227","3,583,521","3,677,658","3,771,385","3,865,230","3,960,087","4,057,228","4,157,654","4,261,537","4,368,815","4,479,959","4,595,463","4,715,617","4,840,693","4,970,478","5,104,153","5,240,560","5,378,824","5,518,586","5,659,946","5,803,029","5,948,135","6,095,437","6,244,916","6,396,307","6,549,268","6,703,361","6,858,266","7,013,829","7,170,112","7,327,281"
Paraguay,"2,482,508","2,544,362","2,606,357","2,669,285","2,734,247","2,802,133","2,873,058","2,947,064","3,024,857","3,107,259","3,194,768","3,287,677","3,385,626","3,487,626","3,592,275","3,698,465","3,805,813","3,914,302","4,023,628","4,133,551","4,243,860","4,354,331","4,464,780","4,575,121","4,685,320","4,795,365","4,905,150","5,014,650","5,124,050","5,233,615","5,343,539","5,453,921","5,564,709","5,675,754","5,786,836","5,897,816","6,008,597","6,119,295","6,230,242","6,341,892","6,454,548","6,568,290","6,682,943","6,798,236"
Peru,"13,187,182","13,559,712","13,941,958","14,333,692","14,734,523","15,143,887","15,561,809","15,987,545","16,418,798","16,852,621","17,286,832","17,720,017","18,152,344","18,585,148","19,020,616","19,460,111","19,903,833","20,350,457","20,797,983","21,243,700","21,685,537","22,122,065","22,553,275","22,980,182","23,404,523","23,827,163","24,248,671","24,667,356","25,079,136","25,478,577","25,861,887","26,228,274","26,579,252","26,916,342","27,242,033","27,558,769","27,866,387","28,166,078","28,463,338","28,765,162","29,076,512","29,399,817","29,733,829","30,075,185"
Philippines,"35,451,392","36,485,095","37,545,635","38,633,697","39,749,340","40,892,836","42,064,468","43,265,378","44,497,521","45,763,245","47,063,923","48,399,114","49,767,259","51,166,963","52,596,291","54,052,849","55,537,110","57,046,529","58,572,071","60,102,139","61,628,668","63,146,876","64,659,225","66,173,874","67,703,053","69,255,386","70,831,419","72,427,130","74,040,838","75,669,587","77,309,965","78,964,389","80,630,416","82,293,990","83,936,698","85,546,427","87,116,275","88,652,631","90,173,139","91,703,090","93,260,798","94,852,030","96,471,461","98,112,780"
Pitcairn,90,,,,,69,,,,,63,,,,,62,,,,,65,,,,,61,,,,,58,,,,,50,,,,,50,,,
Poland,"32,529,022","32,803,069","33,084,382","33,373,543","33,669,650","33,971,911","34,279,654","34,593,234","34,913,558","35,241,738","35,577,214","35,921,102","36,269,149","36,608,819","36,923,674","37,201,804","37,438,003","37,634,787","37,797,656","37,935,815","38,056,174","38,160,714","38,247,716","38,316,289","38,364,540","38,391,778","38,398,942","38,389,116","38,366,420","38,336,047","38,302,444","38,266,810","38,230,497","38,198,151","38,175,134","38,165,040","38,170,330","38,189,762","38,218,462","38,249,228","38,276,660","38,298,949","38,317,090","38,331,803"
Portugal,"8,684,237","8,732,165","8,820,645","8,939,024","9,070,905","9,203,339","9,333,952","9,463,583","9,586,166","9,695,175","9,785,924","9,855,958","9,905,701","9,937,389","9,955,005","9,962,255","9,958,747","9,945,601","9,930,001","9,921,120","9,925,477","9,946,333","9,982,069","10,028,171","10,077,548","10,124,943","10,169,044","10,211,281","10,252,334","10,293,668","10,336,209","10,379,756","10,423,256","10,465,808","10,506,253","10,543,663","10,577,630","10,608,036","10,634,612","10,657,175","10,675,572","10,689,663","10,699,333","10,704,534"
Puerto Rico,"2,715,540","2,751,922","2,793,569","2,839,615","2,888,504","2,938,911","2,990,868","3,044,298","3,097,569","3,148,633","3,196,011","3,239,084","3,278,156","3,313,869","3,347,316","3,379,401","3,409,992","3,439,048","3,467,679","3,497,297","3,528,815","3,562,523","3,597,861","3,633,785","3,668,794","3,701,618","3,732,293","3,760,658","3,785,040","3,803,374","3,814,353","3,817,231","3,812,847","3,803,480","3,792,373","3,781,986","3,773,097","3,765,404","3,758,981","3,753,576","3,749,009","3,745,526","3,743,380","3,742,334"
Qatar,"108,401","118,210","129,227","140,846","152,210","162,835","172,151","180,656","190,192","203,285","221,594","245,740","274,720","306,542","338,365","368,006","395,144","420,058","441,932","459,949","473,722","482,926","488,204","491,420","495,126","501,371","512,422","528,787","548,828","569,870","590,957","608,057","624,173","653,500","715,146","820,986","978,336","1,178,192","1,396,060","1,597,765","1,758,793","1,870,041","1,938,754","1,976,840"
Reunion,"462,096","470,253","475,664","479,160","481,993","485,134","488,763","492,757","497,428","503,071","509,883","518,099","527,682","538,195","549,000","559,640","569,940","580,048","590,203","600,780","612,034","624,006","636,547","649,488","662,590","675,664","688,660","701,577","714,327","726,817","738,984","750,771","762,178","773,264","784,124","794,833","805,399","815,803","826,048","836,137","846,068","855,849","865,479","874,944"
Romania,"20,252,540","20,473,447","20,674,980","20,863,942","21,051,489","21,245,107","21,447,200","21,652,976","21,854,285","22,039,699","22,201,389","22,333,737","22,439,782","22,530,615","22,622,239","22,724,837","22,845,000","22,975,571","23,096,515","23,179,894","23,206,719","23,169,554","23,077,600","22,948,987","22,810,195","22,680,954","22,567,385","22,465,454","22,372,555","22,282,690","22,191,683","22,100,007","22,010,781","21,925,307","21,845,264","21,771,749","21,705,175","21,644,886","21,589,544","21,537,219","21,486,371","21,436,495","21,387,517","21,338,815"
Russia,"130,391,798","131,095,450","131,838,010","132,616,141","133,417,243","134,232,512","135,063,873","135,919,205","136,801,278","137,713,118","138,655,363","139,619,492","140,598,335","141,593,874","142,609,801","143,642,108","144,695,549","145,748,948","146,740,928","147,591,465","148,243,501","148,673,813","148,897,737","148,945,559","148,866,314","148,698,582","148,456,965","148,139,274","147,749,214","147,286,725","146,757,517","146,161,742","145,519,641","144,880,469","144,306,982","143,843,159","143,510,059","143,294,533","143,163,100","143,064,078","142,958,164","142,835,555","142,703,181","142,557,892"
Rwanda,"3,748,672","3,866,501","3,988,895","4,116,446","4,249,861","4,389,619","4,536,057","4,688,997","4,847,747","5,011,299","5,178,927","5,343,129","5,502,531","5,669,024","5,859,270","6,080,907","6,356,230","6,672,124","6,959,599","7,124,870","7,109,538","6,871,192","6,452,688","5,984,449","5,648,306","5,570,206","5,803,830","6,297,733","6,944,116","7,582,861","8,098,344","8,456,968","8,696,378","8,857,859","9,009,655","9,201,727","9,441,406","9,710,531","10,004,092","10,311,275","10,624,005","10,942,950","11,271,786","11,608,439"
Saint Barthélemy,,,,,"2,491",,,,,,,,"3,059",,,,,,,,"5,038",,,,,,,,,"6,852",,,,,,,,"8,450",,,"9,141",,,
Saint Helena,"4,937","5,008","5,078","5,144","5,203","5,253","5,291","5,317","5,339","5,364","5,399","5,446","5,500","5,556","5,602","5,631","5,640","5,633","5,611","5,578","5,537","5,488","5,430","5,370","5,312","5,261","5,220","5,187","5,155","5,115","5,059","4,986","4,901","4,805","4,702","4,598","4,493","4,388","4,288","4,197","4,118","4,055","4,005","3,970"
Saint Kitts and Nevis,"44,887","44,498","44,339","44,328","44,342","44,289","44,146","43,939","43,685","43,422","43,174","42,952","42,746","42,538","42,298","42,015","41,674","41,296","40,955","40,745","40,731","40,941","41,349","41,899","42,511","43,121","43,714","44,302","44,888","45,479","46,083","46,695","47,307","47,923","48,543","49,173","49,811","50,455","51,102","51,752","52,402","53,051","53,697","54,338"
Saint Lucia,"104,101","105,169","106,064","106,905","107,857","109,038","110,501","112,203","114,053","115,915","117,691","119,337","120,897","122,463","124,172","126,116","128,336","130,776","133,315","135,777","138,042","140,056","141,863","143,551","145,255","147,067","149,022","151,079","153,172","155,204","157,108","158,859","160,491","162,055","163,631","165,275","167,002","168,793","170,624","172,458","174,267","176,044","177,794","179,515"
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,376",,,,,
Saint Vincent and the Grenadines,"90,465","91,445","92,463","93,507","94,556","95,591","96,609","97,611","98,590","99,539","100,450","101,316","102,135","102,915","103,669","104,402","105,123","105,819","106,465","107,016","107,449","107,755","107,950","108,051","108,089","108,087","108,049","107,979","107,907","107,869","107,891","107,987","108,150","108,354","108,566","108,755","108,918","109,060","109,178","109,269","109,333","109,365","109,367","109,354"
Saint-Pierre-et-Miquelon,"5,457","5,548","5,644","5,736","5,817","5,883","5,929","5,957","5,973","5,985","5,999","6,015","6,033","6,054","6,079","6,107","6,141","6,179","6,218","6,253","6,279","6,296","6,304","6,305","6,303","6,301","6,300","6,297","6,293","6,285","6,270","6,249","6,223","6,194","6,164","6,137","6,112","6,090","6,072","6,057","6,046","6,041","6,039","6,042"
Samoa,"142,354","144,528","146,330","147,835","149,155","150,373","151,524","152,593","153,557","154,371","155,016","155,488","155,831","156,122","156,459","156,919","157,531","158,290","159,187","160,198","161,308","162,504","163,790","165,172","166,662","168,257","169,969","171,766","173,543","175,169","176,549","177,645","178,488","179,141","179,699","180,237","180,766","181,277","181,809","182,401","183,081","183,874","184,772","185,727"
San Marino,"19,136","19,299","19,395","19,465","19,565","19,734","19,988","20,313","20,683","21,054","21,398","21,707","21,990","22,255","22,515","22,776","23,041","23,304","23,571","23,847","24,134","24,442","24,769","25,098","25,406","25,678","25,897","26,077","26,271","26,551","26,967","27,543","28,251","29,013","29,722","30,301","30,721","31,007","31,198","31,359","31,534","31,735","31,945","32,156"
Sao Tome and Principe,"73,630","75,334","76,896","78,435","80,137","82,124","84,449","87,038","89,740","92,340","94,688","96,721","98,502","100,162","101,899","103,852","106,067","108,493","111,050","113,620","116,117","118,512","120,835","123,137","125,488","127,935","130,499","133,152","135,838","138,475","141,010","143,430","145,761","148,038","150,311","152,622","154,970","157,361","159,852","162,515","165,397","168,526","171,878","175,383"
Saudi Arabia,"5,771,846","6,028,687","6,311,207","6,622,572","6,966,138","7,344,638","7,756,072","8,200,523","8,684,651","9,217,019","9,801,475","10,440,852","11,126,570","11,836,762","12,542,098","13,220,479","13,862,213","14,469,298","15,045,709","15,600,314","16,139,053","16,669,764","17,189,075","17,679,720","18,117,969","18,491,845","18,786,467","19,020,639","19,256,649","19,578,923","20,045,276","20,681,576","21,463,072","22,334,371","23,213,767","24,041,116","24,799,436","25,504,176","26,166,639","26,809,105","27,448,086","28,082,541","28,705,133","29,319,402"
Senegal,"4,096,245","4,231,030","4,370,991","4,512,774","4,651,922","4,785,536","4,912,200","5,033,645","5,154,054","5,279,383","5,414,070","5,559,400","5,714,508","5,879,044","6,051,962","6,232,395","6,420,323","6,615,896","6,818,495","7,027,320","7,241,573","7,461,567","7,686,866","7,915,080","8,143,140","8,369,125","8,591,861","8,812,695","9,035,367","9,265,135","9,505,862","9,758,841","10,023,194","10,297,956","10,581,316","10,871,908","11,169,549","11,474,661","11,787,123","12,106,865","12,433,728","12,767,556","13,107,945","13,454,191"
Serbia,"8,172,645","8,238,178","8,307,669","8,380,884","8,457,297","8,536,301","8,618,095","8,702,227","8,786,614","8,868,545","8,946,077","9,019,281","9,088,833","9,154,306","9,215,339","9,272,302","9,322,048","9,365,835","9,413,538","9,478,469","9,568,744","9,689,735","9,834,717","9,984,888","10,114,158","10,203,932","10,248,363","10,253,548","10,227,702","10,184,152","10,133,561","10,076,784","10,013,058","9,949,713","9,895,409","9,856,152","9,835,841","9,832,994","9,841,360","9,851,440","9,856,222","9,853,969","9,846,582","9,835,010"
Serbia and Montenegro,"8,681,198","8,756,005","8,840,966","8,918,143","9,004,086","9,091,000","9,169,326","9,246,440","9,318,465","9,388,325","9,515,000","9,533,336","9,613,644","9,669,888","9,669,888","9,723,912","9,777,137","9,809,689","9,852,116","9,895,502","9,935,057","10,210,920","10,448,018","10,562,866","10,684,474","10,862,873","10,995,456","11,029,245","11,003,339","10,891,329","10,850,210","10,858,358","10,831,812","10,823,280","10,825,900","10,829,175","10,832,545","10,835,426","10,837,664",,,,,
Serbia excluding Kosovo,"6,899,922","6,958,528","7,023,750","7,083,225","7,149,280","7,216,985","7,278,470","7,338,958","7,395,174","7,449,587","7,565,921","7,581,337","7,631,673","7,677,979","7,685,681","7,730,951","7,774,033","7,798,925","7,832,155","7,866,504","7,897,937","7,595,636","7,604,063","7,614,328","7,622,711","7,628,264","7,622,185","7,598,538","7,567,745","7,540,401","7,516,346","7,503,433","7,500,031","7,480,591","7,463,157","7,440,769","7,431,485","7,438,779","7,445,215",,,,,
Seychelles,"51,659","52,841","54,087","55,357","56,605","57,791","58,906","59,958","60,952","61,897","62,807","63,677","64,505","65,310","66,107","66,914","67,737","68,572","69,411","70,234","71,031","71,800","72,549","73,285","74,016","74,755","75,494","76,235","76,999","77,810","78,685","79,634","80,640","81,660","82,631","83,513","84,291","84,975","85,568","86,079","86,518","86,879","87,169","87,417"
Sierra Leone,"2,593,123","2,640,264","2,688,527","2,738,398","2,790,525","2,845,392","2,903,199","2,963,880","3,027,332","3,093,342","3,161,751","3,230,990","3,300,789","3,373,661","3,453,115","3,540,728","3,639,732","3,746,944","3,849,915","3,931,817","3,981,567","3,995,290","3,979,553","3,946,835","3,915,066","3,898,363","3,898,177","3,913,681","3,953,705","4,028,260","4,143,115","4,303,850","4,505,515","4,730,020","4,952,134","5,153,435","5,327,364","5,478,289","5,612,129","5,739,293","5,867,536","5,997,486","6,126,450","6,255,163"
Singapore,"2,074,099","2,112,908","2,152,644","2,191,970","2,228,945","2,262,444","2,291,674","2,317,849","2,344,275","2,375,464","2,414,563","2,463,269","2,520,493","2,583,219","2,646,959","2,708,638","2,766,830","2,823,012","2,880,470","2,943,941","3,016,624","3,099,465","3,190,692","3,287,420","3,385,486","3,481,674","3,576,537","3,670,693","3,761,263","3,844,693","3,919,300","3,980,956","4,032,217","4,086,050","4,160,158","4,265,999","4,409,955","4,584,894","4,772,216","4,945,645","5,086,418","5,187,933","5,256,278","5,300,914"
Slovak Republic,"4,509,366","4,546,043","4,585,443","4,627,506","4,671,864","4,718,093","4,766,402","4,816,543","4,867,021","4,915,864","4,961,607","5,003,672","5,042,276","5,077,753","5,110,779","5,141,880","5,170,942","5,197,804","5,222,922","5,246,884","5,270,072","5,292,792","5,314,849","5,335,519","5,353,767","5,368,894","5,380,807","5,389,895","5,396,548","5,401,350","5,404,845","5,407,045","5,408,162","5,409,182","5,411,339","5,415,496","5,422,122","5,430,974","5,441,304","5,451,968","5,462,119","5,471,502","5,480,332","5,488,775"
Slovenia,"1,669,731","1,681,246","1,694,389","1,709,055","1,725,015","1,742,004","1,760,125","1,779,184","1,798,248","1,816,102","1,831,881","1,845,186","1,856,261","1,865,704","1,874,446","1,883,179","1,892,015","1,900,766","1,909,475","1,918,131","1,926,701","1,935,302","1,943,919","1,952,220","1,959,752","1,966,205","1,971,488","1,975,755","1,979,261","1,982,378","1,985,406","1,988,385","1,991,319","1,994,426","1,997,959","2,002,084","2,006,903","2,012,345","2,018,172","2,024,040","2,029,680","2,035,012","2,040,057","2,044,766"
Solomon Islands,"160,256","166,067","172,319","178,926","185,758","192,719","199,775","206,940","214,224","221,651","229,235","236,984","244,877","252,860","260,869","268,862","276,815","284,761","292,787","301,012","309,527","318,371","327,529","336,960","346,599","356,404","366,363","376,511","386,906","397,627","408,732","420,232","432,107","444,344","456,919","469,805","483,000","496,490","510,221","524,125","538,148","552,267","566,481","580,791"
Somalia,"3,601,206","3,646,798","3,673,532","3,725,116","3,860,931","4,117,971","4,521,026","5,042,594","5,603,598","6,093,765","6,435,589","6,597,719","6,608,106","6,521,168","6,419,685","6,363,791","6,372,348","6,426,592","6,504,572","6,570,210","6,599,249","6,585,079","6,543,380","6,498,410","6,484,228","6,524,697","6,628,554","6,786,636","6,982,940","7,193,120","7,399,033","7,596,920","7,791,254","7,981,955","8,170,899","8,359,859","8,547,497","8,733,493","8,922,260","9,119,848","9,330,872","9,556,873","9,797,445","10,052,842"
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,"22,502,306","23,106,584","23,736,249","24,384,286","25,040,691","25,698,624","26,353,940","27,009,603","27,674,353","28,360,792","29,077,186","29,828,924","30,611,185","31,409,842","32,204,995","32,983,394","33,734,360","34,464,223","35,196,881","35,966,236","36,793,907","37,690,924","38,641,823","39,609,488","40,542,036","41,402,400","42,175,740","42,873,355","43,516,225","44,137,342","44,760,380","45,389,577","46,015,405","46,631,364","47,226,670","47,792,787","48,330,914","48,842,462","49,319,363","49,751,503","50,132,817","50,459,978","50,738,255","50,981,076"
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,3020949,3107019,3198874,3296208,3398449,3505168,3615772,3730284,3849541,3974741,4106390,4245451,4390699,4537851,4681151,4816725,4942648,5060777,5175686,5294006,5420563,5556767,5701228,5852564,6008344,6166715,6327927,6492553,6659415,6827051,6994624,7161267,7327782,7497047,7673043,7858543,8054628,8260226,8473315,8940854,9415421,9897118,10386101,10881979
Spain,"33,791,761","34,165,661","34,553,119","34,949,102","35,346,395","35,738,587","36,124,485","36,501,995","36,862,658","37,196,233","37,495,321","37,757,496","37,984,198","38,177,151","38,339,878","38,476,148","38,586,351","38,673,057","38,745,231","38,814,280","38,889,158","38,979,222","39,086,335","39,203,352","39,318,577","39,426,834","39,519,508","39,608,652","39,734,033","39,948,910","40,288,457","40,767,010","41,364,726","42,039,800","42,732,092","43,395,441","44,017,887","44,604,384","45,146,258","45,638,113","46,076,989","46,454,895","46,771,596","47,042,602"
Sri Lanka,"12,554,583","12,812,407","13,063,663","13,311,145","13,559,172","13,810,647","14,066,703","14,325,640","14,584,167","14,837,618","15,082,771","15,317,817","15,544,043","15,765,034","15,986,020","16,210,466","16,439,169","16,669,911","16,899,425","17,123,045","17,337,048","17,542,866","17,740,936","17,925,624","18,089,720","18,229,498","18,340,596","18,428,257","18,510,095","18,610,110","18,745,084","18,921,794","19,134,096","19,369,853","19,610,604","19,842,536","20,062,070","20,272,269","20,473,799","20,669,142","20,859,949","21,045,394","21,223,550","21,393,876"
Sudan,"11,744,590","12,079,205","12,436,311","12,814,718","13,212,203","13,627,096","14,057,092","14,502,283","14,965,920","15,452,659","15,964,476","16,505,106","17,069,788","17,641,875","18,198,981","18,726,053","19,215,610","19,674,861","20,121,591","20,581,590","21,073,606","21,603,126","22,164,751","22,753,100","23,358,732","23,974,432","24,601,180","25,241,197","25,889,911","26,541,630","27,193,105","27,840,967","28,488,328","29,146,386","29,830,604","30,551,777","31,314,098","32,113,409","32,941,836","33,537,455","34,136,520","34,735,288","35,335,982","35,940,905"
Suriname,"372,297","373,795","372,648","369,834","366,767","364,497","363,386","363,227","363,818","364,751","365,749","366,770","368,027","369,782","372,398","376,102","381,012","386,974","393,605","400,375","406,890","413,011","418,828","424,455","430,102","435,920","441,896","447,957","454,124","460,419","466,846","473,431","480,132","486,800","493,236","499,294","504,913","510,136","515,066","519,861","524,636","529,419","534,175","538,882"
Svalbard,,,,,,,,,,,,,,,,,,,,,"3,544","3,405","3,309","3,017","2,977","2,906","2,844","2,827","2,596","2,423","2,376","2,464","2,529","2,489","2,375","2,400",,,"2,165",,,,,
Swaziland,"445,735","458,611","472,236","486,560","501,509","517,024","533,202","550,089","567,534","585,327","603,385","621,346","639,383","658,564","680,341","705,602","734,925","767,579","801,540","833,994","862,947","887,467","908,158","926,420","944,404","963,591","984,632","1,006,824","1,028,708","1,048,174","1,063,832","1,075,083","1,082,777","1,088,724","1,095,487","1,104,909","1,117,604","1,133,007","1,150,344","1,168,345","1,186,056","1,203,330","1,220,408","1,237,166"
Sweden,"8,042,839","8,084,965","8,117,863","8,144,217","8,168,135","8,192,569","8,218,933","8,246,302","8,272,581","8,294,604","8,310,467","8,319,266","8,322,909","8,325,682","8,333,446","8,350,392","8,377,422","8,413,155","8,456,561","8,505,752","8,558,829","8,616,729","8,678,657","8,738,894","8,789,976","8,826,949","8,847,421","8,853,934","8,852,650","8,852,487","8,860,153","8,877,022","8,901,831","8,935,392","8,977,965","9,029,345","9,090,707","9,161,374","9,236,872","9,311,110","9,379,687","9,440,747","9,495,392","9,545,823"
Switzerland,"6,169,124","6,221,393","6,269,871","6,311,231","6,340,818","6,355,947","6,355,012","6,340,979","6,321,339","6,306,326","6,303,346","6,315,530","6,341,096","6,376,512","6,415,987","6,455,375","6,493,102","6,530,777","6,571,061","6,617,925","6,673,738","6,740,104","6,814,701","6,891,266","6,961,228","7,018,702","7,060,963","7,090,483","7,112,948","7,136,740","7,167,908","7,207,987","7,254,975","7,307,078","7,361,231","7,415,007","7,468,350","7,521,613","7,573,204","7,621,211","7,664,318","7,701,690","7,733,709","7,761,820"
Syria,"6,368,017","6,588,936","6,817,940","7,054,361","7,297,254","7,546,139","7,800,152","8,059,995","8,328,592","8,609,920","8,906,543","9,219,690","9,547,693","9,886,629","10,230,958","10,576,592","10,921,760","11,267,240","11,614,542","11,966,274","12,324,116","12,690,183","13,063,423","13,438,799","13,809,349","14,171,130","14,518,843","14,856,464","15,200,324","15,572,833","15,988,534","16,454,926","16,962,918","17,490,104","18,004,797","18,484,122","18,920,727","19,321,300","19,694,259","20,053,743","20,410,606","20,766,037","21,117,690","21,468,962"
Taiwan,"14,598,000","14,918,000","15,226,000","15,526,000","15,824,000","16,122,000","16,450,000","16,785,000","17,112,000","17,450,000","17,848,000","18,177,000","18,501,000","18,803,000","19,083,000","19,337,000","19,556,000","19,758,000","19,976,000","20,208,000","20,278,000","20,492,000","20,687,000","20,886,000","21,093,000","21,290,000","21,458,000","21,639,000","21,834,000","22,008,000","22,183,000","22,336,000","22,451,000","22,543,000","22,622,000","22,701,000","22,782,000","22,859,000","22,921,000","22,974,000","23,025,000","23,072,000","23,114,000","23,151,000"
Tajikistan,"2,941,501","3,036,693","3,136,061","3,238,090","3,340,561","3,441,990","3,541,938","3,641,296","3,741,547","3,844,809","3,952,691","4,064,671","4,180,321","4,301,334","4,429,847","4,566,786","4,713,454","4,867,754","5,023,022","5,170,285","5,303,152","5,418,785","5,519,021","5,607,922","5,691,845","5,775,404","5,860,334","5,945,181","6,027,676","6,104,268","6,172,807","6,232,587","6,285,809","6,336,724","6,391,120","6,453,240","6,524,634","6,604,426","6,691,416","6,783,390","6,878,637","6,976,958","7,078,755","7,183,529"
Tanzania,"13,604,523","14,044,480","14,504,837","14,982,938","15,474,884","15,977,990","16,491,445","17,016,577","17,555,450","18,111,097","18,685,789","19,281,182","19,897,071","20,531,760","21,182,600","21,848,290","22,525,148","23,215,060","23,928,658","24,680,404","25,478,979","26,331,511","27,230,502","28,152,305","29,064,223","29,943,732","30,783,155","31,592,450","32,388,671","33,197,305","34,038,161","34,917,073","35,832,494","36,788,281","37,786,946","38,831,024","39,923,609","41,068,185","42,267,667","43,524,738","44,841,226","46,218,486","47,656,367","49,153,002"
Thailand,"36,915,397","38,004,462","39,109,571","40,219,377","41,319,380","42,398,941","43,453,204","44,483,729","45,494,423","46,492,281","47,482,643","48,460,289","49,422,519","50,379,788","51,346,204","52,328,663","53,339,762","54,368,583","55,370,526","56,284,973","57,072,058","57,711,519","58,225,969","58,671,177","59,126,690","59,650,157","60,258,113","60,933,752","61,660,383","62,408,639","63,155,029","63,898,879","64,642,931","65,370,277","66,060,383","66,698,483","67,276,383","67,796,451","68,267,982","68,706,122","69,122,234","69,518,555","69,892,142","70,243,267"
Timor-Leste,"604,382","620,126","637,590","653,351","662,785","662,962","652,072","632,134","608,743","589,744","580,707","583,764","597,067","617,347","639,513","659,846","677,073","692,306","706,986","723,453","743,145","767,267","794,561","821,141","841,687","852,817","852,280","842,341","829,617","823,386","830,089","852,522","888,099","931,324","974,024","1,010,367","1,038,572","1,060,770","1,079,749","1,099,887","1,124,355","1,153,834","1,187,194","1,223,665"
Togo,"2,097,273","2,165,335","2,225,052","2,278,418","2,328,971","2,379,649","2,430,120","2,480,291","2,533,721","2,594,914","2,666,921","2,751,151","2,846,305","2,949,279","3,055,479","3,161,327","3,266,857","3,372,562","3,475,964","3,574,135","3,665,509","3,747,750","3,822,591","3,897,510","3,982,804","4,085,492","4,208,738","4,349,349","4,500,173","4,650,754","4,793,504","4,926,142","5,050,919","5,170,252","5,288,273","5,408,044","5,529,908","5,652,811","5,776,837","5,901,859","6,027,798","6,154,813","6,283,092","6,412,560"
Tokelau,"1,618","1,587","1,574","1,574","1,577","1,575","1,567","1,556","1,545","1,543","1,554","1,581","1,619","1,661","1,694","1,713","1,712","1,696","1,669","1,637","1,609","1,583","1,558","1,538","1,524","1,520","1,529","1,548","1,566","1,571","1,552","1,504","1,432","1,349","1,271","1,210","1,170","1,148","1,139","1,136","1,135","1,134","1,136","1,141"
